"","Down","FP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"21",3,21,0.114041690740795,0.0102414860297748,-0.0935587186812459,-0.197358923392266,-0.301159128103287,-0.404959332814308,-0.508759537525328,-0.612559742236348,-0.716359946947369,-0.820160151658389,-0.92396035636941,-1.02776056108043,-1.13156076579145,-1.23536097050247,-1.33916117521349,-1.44296137992451,-1.54676158463553,-1.65056178934655,-1.75436199405757,-1.85816219876859
"22",3,22,0.173057848858043,0.069257644147023,-0.0345425605639977,-0.138342765275018,-0.242142969986039,-0.345943174697059,-0.44974337940808,-0.5535435841191,-0.657343788830121,-0.761143993541141,-0.864944198252162,-0.968744402963182,-1.0725446076742,-1.17634481238522,-1.28014501709624,-1.38394522180726,-1.48774542651829,-1.59154563122931,-1.69534583594033,-1.79914604065135
"23",3,23,0.232074006975292,0.128273802264271,0.0244735975532504,-0.0793266071577701,-0.183126811868791,-0.286927016579811,-0.390727221290832,-0.494527426001852,-0.598327630712873,-0.702127835423893,-0.805928040134914,-0.909728244845934,-1.01352844955695,-1.11732865426798,-1.221128858979,-1.32492906369002,-1.42872926840104,-1.53252947311206,-1.63632967782308,-1.7401298825341
"24",3,24,0.29109016509254,0.187289960381519,0.0834897556704988,-0.0203104490405217,-0.124110653751542,-0.227910858462563,-0.331711063173583,-0.435511267884604,-0.539311472595624,-0.643111677306645,-0.746911882017665,-0.850712086728686,-0.954512291439706,-1.05831249615073,-1.16211270086175,-1.26591290557277,-1.36971311028379,-1.47351331499481,-1.57731351970583,-1.68111372441685
"25",3,25,0.350106323209788,0.246306118498768,0.142505913787747,0.0387057090767264,-0.065094495634294,-0.168894700345315,-0.272694905056335,-0.376495109767356,-0.480295314478376,-0.584095519189397,-0.687895723900417,-0.791695928611438,-0.895496133322458,-0.999296338033479,-1.1030965427445,-1.20689674745552,-1.31069695216654,-1.41449715687756,-1.51829736158858,-1.6220975662996
"26",3,26,0.409122481327036,0.305322276616016,0.201522071904995,0.0977218671939748,-0.00607833751704567,-0.109878542228066,-0.213678746939087,-0.317478951650107,-0.421279156361128,-0.525079361072148,-0.628879565783169,-0.732679770494189,-0.83647997520521,-0.940280179916231,-1.04408038462725,-1.14788058933827,-1.25168079404929,-1.35548099876031,-1.45928120347133,-1.56308140818235
"27",3,27,0.468138639444285,0.364338434733264,0.260538230022243,0.156738025311223,0.0529378206002025,-0.0508623841108182,-0.154662588821839,-0.258462793532859,-0.36226299824388,-0.4660632029549,-0.569863407665921,-0.673663612376941,-0.777463817087962,-0.881264021798982,-0.985064226510003,-1.08886443122102,-1.19266463593204,-1.29646484064306,-1.40026504535409,-1.50406525006511
"28",3,28,0.527154797561533,0.423354592850512,0.319554388139492,0.215754183428471,0.111953978717451,0.00815377400642991,-0.0956464307045906,-0.199446635415611,-0.303246840126632,-0.407047044837652,-0.510847249548673,-0.614647454259693,-0.718447658970714,-0.822247863681734,-0.926048068392755,-1.02984827310378,-1.1336484778148,-1.23744868252582,-1.34124888723684,-1.44504909194786
"29",3,29,0.586170955678781,0.482370750967761,0.37857054625674,0.274770341545719,0.170970136834699,0.0671699321236783,-0.0366302725873422,-0.140430477298363,-0.244230682009383,-0.348030886720404,-0.451831091431424,-0.555631296142445,-0.659431500853465,-0.763231705564486,-0.867031910275506,-0.970832114986527,-1.07463231969755,-1.17843252440857,-1.28223272911959,-1.38603293383061
"30",3,30,0.645187113796029,0.541386909085009,0.437586704373988,0.333786499662968,0.229986294951947,0.126186090240926,0.0223858855299059,-0.0814143191811145,-0.185214523892135,-0.289014728603155,-0.392814933314176,-0.496615138025196,-0.600415342736217,-0.704215547447238,-0.808015752158258,-0.911815956869279,-1.0156161615803,-1.11941636629132,-1.22321657100234,-1.32701677571336
"31",3,31,0.704203271913278,0.600403067202257,0.496602862491236,0.392802657780216,0.289002453069195,0.185202248358175,0.0814020436471543,-0.0223981610638662,-0.126198365774887,-0.229998570485907,-0.333798775196928,-0.437598979907948,-0.541399184618969,-0.645199389329989,-0.74899959404101,-0.85279979875203,-0.956600003463051,-1.06040020817407,-1.16420041288509,-1.26800061759611
"32",3,32,0.763219430030526,0.659419225319505,0.555619020608485,0.451818815897464,0.348018611186444,0.244218406475423,0.140418201764402,0.036617997053382,-0.0671822076576385,-0.170982412368659,-0.27478261707968,-0.3785828217907,-0.482383026501721,-0.586183231212741,-0.689983435923762,-0.793783640634782,-0.897583845345803,-1.00138405005682,-1.10518425476784,-1.20898445947886
"33",3,33,0.822235588147774,0.718435383436753,0.614635178725733,0.510834974014712,0.407034769303692,0.303234564592671,0.199434359881651,0.0956341551706301,-0.00816604954039035,-0.111966254251411,-0.215766458962432,-0.319566663673452,-0.423366868384472,-0.527167073095493,-0.630967277806513,-0.734767482517534,-0.838567687228555,-0.942367891939575,-1.0461680966506,-1.14996830136162
